site_id,unit_id,read_date,salinity_ppt,dissolved_oxygen_mg_l,ph_standard_units,secchi_depth_m,water_depth_m,water_temp_c,air_temp_c,air_temp_f,time_24h,year
Bay,,1/3/1994,1.3,11.7,7.3,0.4,0.4,5.9,8.0,46.4,11:00,1994
Bay,,1/31/1994,1.5,12.0,7.4,0.2,0.35,3.0,2.6,36.68,11:30,1994
Bay,,2/7/1994,1.0,10.5,7.2,0.25,0.6,5.9,7.6,45.68,9:45,1994
Bay,,2/23/1994,1.0,10.1,7.4,0.35,0.5,10.0,2.7,36.86,,1994
Bay,,2/28/1994,1.0,12.6,7.2,0.2,0.4,1.6,0.0,32.0,10:30,1994
Bay,,3/7/1994,1.0,9.9,7.1,0.2,0.9,9.7,15.2,59.36,10:00,1994
Bay,,3/14/1994,0.5,10.4,7.2,0.25,0.75,9.8,10.1,50.18,11:00,1994
Bay,,3/28/1994,1.0,9.2,7.1,0.15,0.95,16.1,22.1,71.78,9:50,1994
Bay,,4/4/1994,1.0,9.2,7.2,0.25,0.75,15.0,13.5,56.3,10:00,1994
Bay,,4/11/1994,1.0,8.6,7.3,0.2,0.75,15.7,13.0,55.4,10:00,1994
Bay,,4/18/1994,1.0,8.8,7.6,0.2,0.7,17.5,16.6,61.88,10:30,1994
Bay,,4/25/1994,1.0,10.0,7.9,0.2,0.5,19.3,22.1,71.78,11:00,1994
Bay,,5/2/1994,1.3,9.8,7.5,0.2,0.65,16.1,13.0,55.4,10:30,1994
Bay,,5/9/1994,1.0,10.1,7.9,0.25,0.75,18.8,19.5,67.1,10:45,1994
Bay,,5/16/1994,1.0,8.2,7.8,0.25,0.8,22.1,22.3,72.14,10:00,1994
Bay,,5/23/1994,1.0,10.8,9.1,0.05,0.05,21.7,24.3,75.74,11:00,1994
Bay,,5/30/1994,1.0,8.7,8.5,0.35,0.8,22.3,22.7,72.86,,1994
Bay,,6/6/1994,1.0,9.4,8.6,0.35,0.8,23.8,25.7,78.26,11:00,1994
Bay,,6/13/1994,1.2,10.4,9.0,0.35,0.8,27.9,26.9,80.42,10:45,1994
Bay,,6/20/1994,1.5,9.8,9.0,0.35,0.7,29.5,30.5,86.9,10:15,1994
Bay,,6/27/1994,1.5,7.3,8.1,0.25,1.2,25.5,27.9,82.22,10:15,1994
Bay,,7/3/1994,2.0,10.7,9.0,0.4,0.9,28.5,28.0,82.4,10:40,1994
Bay,,6/25/1994,2.0,11.0,9.4,0.5,0.9,30.5,28.5,83.3,10:30,1994
Bay,,8/1/1994,2.0,10.7,9.2,0.45,0.75,29.0,25.5,77.9,,1994
Bay,,8/8/1994,2.0,10.2,9.2,0.4,0.55,22.0,21.5,70.7,10:30,1994
Bay,,8/15/1994,2.3,6.9,8.8,0.45,0.9,24.5,20.0,68.0,10:30,1994
Bay,,8/22/1994,2.0,9.1,9.1,0.45,0.9,27.0,24.5,76.1,10:30,1994
Bay,,8/29/1994,2.3,9.8,9.3,0.45,0.75,27.0,27.0,80.6,10:45,1994
Bay,,9/5/1994,2.5,8.6,8.5,0.2,1.2,17.0,17.0,62.6,10:00,1994
Bay,,9/12/1994,2.5,7.9,8.4,0.35,0.6,21.0,19.0,66.2,10:30,1994
Bay,,9/19/1994,2.5,8.2,8.1,0.45,0.6,20.5,21.5,70.7,10:30,1994
Bay,,9/26/1994,2.25,6.9,8.1,0.45,0.8,23.0,23.0,73.4,10:15,1994
Bay,,10/10/1994,2.5,8.4,8.1,0.45,0.5,17.0,17.0,62.6,10:30,1994
Bay,,10/24/1994,2.5,7.4,7.6,0.35,0.85,18.0,19.0,66.2,10:20,1994
Bay,,11/7/1994,2.5,9.0,7.3,0.2,0.5,15.0,15.0,59.0,10:00,1994
Bay,,11/28/1994,2.8,9.4,7.7,0.25,0.65,13.0,17.5,63.5,10:30,1994
Bay,,12/12/1994,2.5,11.4,6.9,0.35,0.4,5.0,5.0,41.0,11:00,1994
Bay,,12/29/1994,3.0,10.4,6.9,0.15,0.4,8.0,9.5,49.1,11:00,1994
Bay,,5/11/1989,,,7.5,0.3,0.9,17.0,,,0:00,1989
Bay,,5/18/1989,,12.0,7.5,0.2,0.6,17.5,,68.9,21:36,1989
Bay,,5/25/1989,,,8.0,0.4,0.8,23.0,,77.0,0:00,1989
Bay,,6/1/1989,,12.0,8.0,0.4,0.9,25.5,,84.2,4:48,1989
Bay,,7/11/1989,,,8.5,0.3,0.9,28.5,,82.4,9:36,1989
Bay,,7/20/1989,,1.6,9.0,0.3,0.9,30.0,,90.5,12:00,1989
Bay,,7/27/1989,,6.2,9.0,0.3,0.8,27.0,,80.6,14:24,1989
Bay,,8/3/1989,,5.8,9.5,0.2,0.7,25.0,,82.4,9:36,1989
Bay,,8/10/1989,,3.2,9.0,0.2,0.3,21.5,,72.5,12:00,1989
Bay,,8/17/1989,,7.3,9.0,0.2,0.8,28.0,,84.2,4:48,1989
Bay,,8/31/1989,,7.1,9.0,0.2,0.8,28.0,,82.4,9:36,1989
Bay,,9/14/1989,,6.0,7.5,0.3,0.9,26.0,,78.8,19:12,1989
Bay,,10/25/1989,,7.8,8.5,0.2,0.5,15.0,,66.2,4:48,1989
Bay,,10/31/1989,,,7.5,0.2,0.7,21.5,,71.6,14:24,1989
Bay,,11/20/1989,,,8.0,0.2,1.0,8.5,,57.2,4:48,1989
Bay,,11/27/1989,,10.3,7.5,0.2,0.6,9.0,,39.2,4:48,1989
Bay,,12/11/1989,,10.2,7.0,0.2,0.4,3.0,,37.4,9:36,1989
Bay,,1/3/1990,,11.9,7.5,0.2,0.6,3.0,,41.0,0:00,1990
Bay,,1/8/1990,,10.8,7.5,0.2,0.4,7.0,,45.5,12:00,1990
Bay,,1/22/1990,1.0,9.7,7.5,0.15,0.65,10.0,,53.6,14:24,1990
Bay,,1/30/1990,,10.8,7.5,0.2,0.7,9.0,,55.4,9:36,1990
Bay,,2/7/1990,3.4,10.8,7.5,0.2,0.6,10.0,,50.0,0:00,1990
Bay,,2/12/1990,3.2,10.6,7.0,0.2,0.7,10.0,,48.2,4:48,1990
Bay,,2/20/1990,4.2,11.6,7.5,0.15,0.39,5.0,,41.0,0:00,1990
Bay,,2/27/1990,2.8,13.8,7.0,0.5,1.5,2.5,,33.8,19:12,1990
Bay,,3/5/1990,2.9,11.6,7.0,0.2,0.4,7.0,,47.3,7:12,1990
Bay,,3/12/1990,2.9,9.0,7.0,0.15,0.69,17.0,,69.8,19:12,1990
Bay,,3/19/1990,2.8,7.8,7.0,0.22,0.92,15.0,,57.2,4:48,1990
Bay,,3/26/1990,3.0,10.8,7.0,0.25,0.4,9.5,,48.2,4:48,1990
